Digraph   Frequency

   bv            9
   ii            9
   mc            9
   ym            9
   am            8
   ga            8
   qp            8
   gn            7
   mq            7
   nb            7
   ni            7
   rv            7
   sg            7
   tr            7
   tt            7
   tv            7
   wi            7
   ai            6
   bt            6
   cg            6
   ci            6
   dl            6
   ee            6
   ei            6
   et            6
   gl            6
   il            6
   lh            6
   lu            6
   mi            6
   nw            6
   oe            6
   pg            6
   qr            6
   ro            6
   sc            6
   ta            6
   td            6
   ug            6
   vr            6
   ww            6
   cl            5
   db            5
   dm            5
   fe            5
   fo            5
   gr            5
   gs            5
   hc            5
   hl            5
   hn            5
   hx            5
   ia            5
   if            5
   ig            5
   iq            5
   ir            5
   jt            5
   ks            5
   kv            5
   lj            5
   lm            5
   mh            5
   mp            5
   mr            5
   mu            5
   mx            5
   nf            5
   nm            5
   nz            5
   og            5
   oh            5
   on            5
   pw            5
   rr            5
   rt            5
   si            5
   ss            5
   tm            5
   ut            5
   vh            5
   vn            5
   vv            5
   wr            5
   ws            5
   xb            5
   xf            5
   xt            5
   ye            5
   zq            5
   aa            4
   ac            4
   ae            4
   aq            4
   aw            4
   az            4
   bd            4
   bk            4
   bn            4
   bw            4
   cs            4
   dw            4
   eg            4
   eu            4
   ez            4
   fh            4
   fm            4
   ft            4
   fz            4
   gb            4
   gm            4
   gu            4
   gw            4
   gy            4
   ha            4
   hi            4
   hk            4
   ht            4
   hu            4
   in            4
   is            4
   iv            4
   iw            4
   ix            4
   ja            4
   kh            4
   ki            4
   km            4
   la            4
   lc            4
   li            4
   ln            4
   lr            4
   lv            4
   lw            4
   lz            4
   mf            4
   mo            4
   mv            4
   nt            4
   nu            4
   pb            4
   pd            4
   pk            4
   pr            4
   pv            4
   qg            4
   qi            4
   ql            4
   qn            4
   qo            4
   qu            4
   rc            4
   rf            4
   rk            4
   rm            4
   rq            4
   rw            4
   rx            4
   ry            4
   rz            4
   se            4
   sh            4
   sl            4
   tb            4
   tf            4
   tp            4
   tq            4
   tu            4
   uh            4
   um            4
   uy            4
   vd            4
   vg            4
   vp            4
   vt            4
   vz            4
   wa            4
   wk            4
   wt            4
   xa            4
   xq            4
   xv            4
   yi            4
   zw            4
   ag            3
   al            3
   an            3
   ao            3
   as            3
   at            3
   ax            3
   ba            3
   bi            3
   bl            3
   bm            3
   br            3
   bs            3
   by            3
   cb            3
   cf            3
   ck            3
   cn            3
   ct            3
   de            3
   dk            3
   dp            3
   du            3
   ea            3
   ed            3
   eh            3
   em            3
   eq            3
   fk            3
   fr            3
   fv            3
   fw            3
   fx            3
   gd            3
   ge            3
   gh            3
   gx            3
   hy            3
   ib            3
   ic            3
   ik            3
   im            3
   io            3
   ip            3
   it            3
   iu            3
   iy            3
   je            3
   jv            3
   jw            3
   kb            3
   kc            3
   ke            3
   kg            3
   kk            3
   kl            3
   ko            3
   kr            3
   kt            3
   lb            3
   lg            3
   ll            3
   ls            3
   ly            3
   mb            3
   mk            3
   mm            3
   mn            3
   ms            3
   mt            3
   nk            3
