Trigraph   Frequency

   awi            3
   moe            3
   ugs            3
   vym            3
   xbv            3
   zqr            3
   aii            2
   ami            2
   aon            2
   aqq            2
   att            2
   azl            2
   bdp            2
   brb            2
   bvg            2
   bvr            2
   cgn            2
   ckb            2
   csc            2
   dbn            2
   dbz            2
   edl            2
   eii            2
   eik            2
   fag            2
   fks            2
   fog            2
   fwl            2
   gam            2
   ghl            2
   glj            2
   gws            2
   hko            2
   hnp            2
   ibt            2
   ifm            2
   ikh            2
   ilv            2
   iqp            2
   irt            2
   jai            2
   kdb            2
   kgd            2
   ksc            2
   lhc            2
   lhe            2
   liw            2
   lsm            2
   lug            2
   lwk            2
   maw            2
   mcl            2
   mcx            2
   mhn            2
   miv            2
   mrw            2
   msr            2
   nbi            2
   nbr            2
   nga            2
   nsl            2
   nwc            2
   oee            2
   olc            2
   onb            2
   oux            2
   pau            2
   pdm            2
   pgm            2
   pig            2
   prv            2
   qgl            2
   qpg            2
   qua            2
   rba            2
   roe            2
   roh            2
   rvt            2
   scg            2
   sek            2
   sgb            2
   sgt            2
   sif            2
   slz            2
   ssa            2
   tbv            2
   tia            2
   uha            2
   umu            2
   uoa            2
   utd            2
   vaf            2
   vtr            2
   wkc            2
   xfe            2
   xta            2
   xym            2
   ydu            2
   yhu            2
   ylm            2
   ymp            2
   yms            2
   ysi            2
   aai            1
   aam            1
   aaq            1
   aat            1
   abd            1
   abv            1
   acb            1
   acd            1
   aci            1
   ack            1
   aed            1
   aet            1
   aew            1
   aez            1
   afo            1
   aft            1
   agh            1
   agr            1
   agu            1
   aie            1
   aif            1
   ain            1
   aix            1
   ajz            1
   akm            1
   ako            1
   alc            1
   alp            1
   alr            1
   amf            1
   amk            1
   amm            1
   amo            1
   amu            1
   amz            1
   ana            1
   ani            1
   anu            1
   aoh            1
   apc            1
   app            1
   aqi            1
   aqp            1
   arq            1
   ask            1
   ass            1
   asu            1
   ata            1
   auw            1
   auy            1
   avg            1
   avm            1
   awb            1
   axi            1
   axp            1
   axy            1
   aye            1
   ayp            1
   azg            1
   azw            1
   bac            1
   bal            1
   baq            1
   bbi            1
   bcs            1
   bdb            1
   bdm            1
   bfi            1
   bfk            1
   bhy            1
   bik            1
   bil            1
   biu            1
   bje            1
   bjv            1
   bkl            1
   bkr            1
   bks            1
