Trigraph   Frequency

   iox            4
   qsk            4
   sky            4
   alh            3
   crv            3
   fee            3
   kys            3
   ysi            3
   awe            2
   bgv            2
   bkf            2
   bqs            2
   btw            2
   byb            2
   cal            2
   cfe            2
   cqi            2
   drq            2
   ecf            2
   eeb            2
   euc            2
   far            2
   fds            2
   fft            2
   fwl            2
   gvc            2
   hdr            2
   iwk            2
   iyb            2
   iyz            2
   kff            2
   kio            2
   kku            2
   kuc            2
   lhu            2
   lkk            2
   lzy            2
   mvo            2
   nyf            2
   ogm            2
   otu            2
   oxa            2
   oxg            2
   pfw            2
   pow            2
   qiw            2
   qsb            2
   siy            2
   tio            2
   tuw            2
   twp            2
   ucn            2
   ucq            2
   uwy            2
   vcn            2
   vhc            2
   vox            2
   vyb            2
   weu            2
   wki            2
   wlk            2
   wrv            2
   wyf            2
   xaw            2
   xur            2
   ybc            2
   yfd            2
   yfq            2
   yzu            2
   zuj            2
   zyb            2
   abg            1
   acd            1
   adu            1
   aec            1
   ais            1
   ali            1
   alq            1
   amh            1
   amn            1
   apb            1
   are            1
   arj            1
   arl            1
   arm            1
   arx            1
   asq            1
   asw            1
   awr            1
   aww            1
   bby            1
   bcb            1
   bcc            1
   bcg            1
   bcr            1
   bec            1
   bhg            1
   boh            1
   bok            1
   bot            1
   bst            1
   bvs            1
   bxm            1
   bxs            1
   bym            1
   cbc            1
   cbq            1
   cbs            1
   cca            1
   ccb            1
   cck            1
   ccr            1
   cdp            1
   cdx            1
   cep            1
   cff            1
   cfu            1
   cgi            1
   chj            1
   cip            1
   cki            1
   cmf            1
   cmo            1
   cnc            1
   cne            1
   cng            1
   cnh            1
   cni            1
   cnu            1
   cnx            1
   cny            1
   cot            1
   cws            1
   cxu            1
   dae            1
   dcn            1
   ddc            1
   deu            1
   dgg            1
   dkg            1
   dmv            1
   dpz            1
   dse            1
   dsl            1
   dss            1
   dti            1
   duw            1
   dxx            1
   ebo            1
   eby            1
   ecc            1
   ech            1
   ecw            1
   eec            1
   eep            1
   egw            1
   egx            1
   eja            1
   emf            1
   eom            1
   epa            1
   epc            1
   epo            1
   epy            1
   esi            1
   etm            1
   etv            1
   euf            1
   eug            1
   eui            1
   eux            1
   euz            1
   evr            1
   fad            1
   fcc            1
   fdk            1
   fem            1
   fes            1
   fet            1
   ffm            1
   ffy            1
   fgz            1
   fjk            1
   fkh            1
   flo            1
   fly            1
   fmu            1
   fmv            1
   fnt            1
   fpy            1
   fqf            1
   fqs            1
   frv            1
   fsu            1
   ftu            1
   ftx            1
   fuh            1
   fyf            1
   fyo            1
   gac            1
   gal            1
   gam            1
   gar            1
   gas            1
   gbx            1
   gcm            1
   gdg            1
   gfe            1
   gga            1
   ggf            1
   ggn            1
   gig            1
   gih            1
   git            1
   giy            1
   gjl            1
   gjo            1
   gmf            1
   gmh            1
   gna            1
   gve            1
   gvy            1
   gwa            1
   gxu            1
   gza            1
   hce            1
   hci            1
   hdt            1
   hgc            1
   his            1
   hje            1
   hji            1
   hjt            1
   hmf            1
   hqi            1
   hqs            1
   hrv            1
   hst            1
   hud            1
   huw            1
   hux            1
   hxu            1
   icf            1
   icn            1
   icx            1
   iec            1
   ife            1
   iff            1
   igj            1
   igv            1
   ihd            1
   ijm            1
   ilq            1
   img            1
   ipp            1
   iry            1
   isj            1
   isp            1
   isu            1
   isv            1
   ita            1
   ite            1
   ity            1
   izl            1
   jar            1
   jco            1
   jda            1
   jeo            1
   jga            1
   jgb            1
   jgj            1
   jic            1
   jiz            1
   jky            1
   jlz            1
   jmf            1
   jox            1
   jpf            1
   jru            1
   jti            1
   jvi            1
   kbo            1
   kbt            1
   kgd            1
   khi            1
   khu            1
   kie            1
   kog            1
   ksq            1
   ktm            1
   kva            1
   kvb            1
   kxu            1
   kyf            1
   kyk            1
   kyx            1
   lhq            1
   lit            1
   liy            1
   lny            1
   loi            1
   lqr            1
   lqs            1
   lsd            1
   lse            1
   lye            1
   lyu            1
   mfa            1
   mfc            1
   mfm            1
   mfp            1
   mfy            1
   mgi            1
   mhm            1
   mhr            1
   mhs            1
   mhx            1
   mjg            1
   mks            1
   mmh            1
   mnm            1
   mnr            1
   mnu            1
   mot            1
   mpc            1
   mrc            1
   mub            1
   muq            1
   mvd            1
   myy            1
   nam            1
   ncc            1
   neu            1
   nga            1
   nhd            1
   nic            1
   nkv            1
   nmy            1
   nqs            1
   nrn            1
   ntp            1
   nuf            1
   nuw            1
   nxu            1
