******************************************
  CONVERSION TABLE -- CARTESIAN TO POLAR

  Cartesian                  Polar
  X       Y          Radius     Angle(deg)
 45.0    45.0        63.640       45.000
 13.0    10.0        16.401       37.569
 15.0    77.0        78.447       78.977
 65.0   134.0       148.933       64.123
 70.0    90.0       114.018       52.125
 17.5    52.0        54.866       71.400
-18.0    19.0        26.173      133.452
-95.0   -77.0       122.287     -140.974
 25.0   -20.0        32.016      -38.660
 55.0    23.0        59.615       22.694
******************************************


